District,Location,Types of Operating Hours,"For Vehicles Other Than Medium and Heavy Goods Vehicles, Buses, Motor Cycles and Pedal Cycles ",For Goods Vehicles,For Coaches
KWAI TSING,CHEUNG FAI ROAD,H,2,32,0
KWAI TSING,CHEUNG LUNG STREET,H,0,4,0
KWAI TSING,CHEUNG TAT ROAD,H,6,0,0
KWAI TSING,FUNG SHUE WO ROAD,Q,7,0,0
KWAI TSING,KA TING ROAD,D,3,0,0
KWAI TSING,KO FONG STREET,D,13,0,0
KWAI TSING,KWAI CHEONG ROAD,H,0,0,2
KWAI TSING,KWAI FAT ROAD,H,0,3,0
KWAI TSING,KWAI SAU ROAD,H,0,2,0
KWAI TSING,KWAI SAU ROAD CAR PARK,D,27,0,0
KWAI TSING,KWAI SAU ROAD CAR PARK,H,0,13,0
KWAI TSING,KWAI TAK STREET,H,0,8,0
KWAI TSING,KWAI TING ROAD,D,6,0,0
KWAI TSING,KWAI WING ROAD,H,0,8,0
KWAI TSING,KWAI WING ROAD CAR PARK,D,11,0,0
KWAI TSING,KWAI WO STREET,H,0,7,0
KWAI TSING,KWONG FAI CIRCUIT,D,36,0,0
KWAI TSING,KWONG FAI CIRCUIT,H,0,5,0
KWAI TSING,KWONG FAI LANE,D,17,0,0
KWAI TSING,LAI FONG STREET,H,0,5,0
KWAI TSING,LAI LEI FA STREET,D,7,2,0
KWAI TSING,Lantau Link Viewing Platform C/P,H,24,0,0
KWAI TSING,SHEK LI STREET,D,5,0,0
KWAI TSING,SHEK PUI STREET,D,6,0,0
KWAI TSING,SHEK TAU STREET,D,23,0,0
KWAI TSING,SHEK YAM ROAD ,D,14,0,0
KWAI TSING,SHEK YAM ROAD CAR PARK ,D,33,0,0
KWAI TSING,SHING FONG STREET,D,13,0,0
KWAI TSING,SHING YIU STREET,H,5,0,0
KWAI TSING,SHUN FONG STREET,H,0,8,0
KWAI TSING,TA CHUEN PING STREET CAR PARK,D,24,0,0
KWAI TSING,TA CHUEN PING STREET CAR PARK,H,0,2,0
KWAI TSING,TAI HA STREET,H,0,6,0
KWAI TSING,TAI LOONG STREET CAR PARK 1,D,35,0,0
KWAI TSING,TAI LOONG STREET CAR PARK 2,D,20,0,0
KWAI TSING,TAI LOONG STREET CAR PARK 3,D,15,0,0
KWAI TSING,TAI WO HAU ROAD,D,12,0,0
KWAI TSING,TAI YUEN STREET,H,0,15,0
KWAI TSING,WING FONG ROAD,D,13,0,0
KWAI TSING,WO YI HOP ROAD,D,7,0,0
KWAI TSING,YAN FONG STREET,H,0,3,0
TSUEN WAN,A.C.P. EXHIBITION CENTRE CAR PARK,Q,0,0,0
TSUEN WAN,CASTLE PEAK ROAD - TING KAU,Q,22,0,0
TSUEN WAN,CASTLE PEAK ROAD - TSING LUNG TAU,Q,0,0,0
TSUEN WAN,CHUNG ON STREET,D,19,0,0
TSUEN WAN,FUI YIU KOK STREET,D,4,0,0
TSUEN WAN,HAM TIN STREET,D,4,0,0
TSUEN WAN,HAU TEI SQUARE,D,13,0,0
TSUEN WAN,HEUNG CHE STREET,D,12,0,0
TSUEN WAN,HEUNG WO STREET,D,89,0,0
TSUEN WAN,HOI PA STREET,D,14,0,0
TSUEN WAN,KWU HANG ROAD,H,0,3,0
TSUEN WAN,LEI SHU ROAD,D,8,0,0
TSUEN WAN,LO TAK COURT,D,85,0,0
TSUEN WAN,LO TAK COURT,H,0,25,0
TSUEN WAN,LO WAI ROAD,Q,0,0,5
TSUEN WAN,LO WAI ROAD CAR PARK 1,Q,28,0,0
TSUEN WAN,LO WAI ROAD CAR PARK 2,Q,9,0,0
TSUEN WAN,MARKET STREET,D,8,0,0
TSUEN WAN,PUN SHAN STREET,D,8,0,0
TSUEN WAN,SHA TSUI ROAD,D,8,0,0
TSUEN WAN,SHIU WO STREET,D,6,0,0
TSUEN WAN,TAI PEI SQUARE,D,24,0,0
TSUEN WAN,TAI UK  STREET ,D,20,0,0
TSUEN WAN,TAI UK  STREET ,H,0,1,0
TSUEN WAN,TING KAU CAR PARK,Q,24,0,0
TSUEN WAN,TSO KUNG STREET,H,0,4,0
TSUEN WAN,TSUEN KWAI STREET,D,5,0,0
TSUEN WAN,TSUEN WING STREET,H,0,2,0
TSUEN WAN,TUNG WO STREET ,Q,6,0,0
TSUEN WAN,TUNG WO STREET C/P 1,Q,16,0,0
TSUEN WAN,TUNG WO STREET C/P 2,Q,8,0,0
TSUEN WAN,TUNG WO STREET C/P 3,Q,8,0,0
TSUEN WAN,TUNG WO STREET C/P 4,Q,18,0,0
TUEN MUN,BUTTERFLY BEACH CAR PARK,Q,143,0,9
TUEN MUN,CASTLE PEAK ROAD - TAI LAM,Q,10,0,0
TUEN MUN,CASTLE PEAK ROAD CAR PARK - CASTLE PEAK BAY ROAD (NEAR CAFETERIA BEACH),Q,65,0,5
TUEN MUN,CASTLE PEAK ROAD CAR PARK - CASTLE PEAK BAY ROAD (NEAR GOLD COAST),D,159,0,0
TUEN MUN,FUNG ON STREET CAR PARK,Q,5,7,0
TUEN MUN,HO HOI STREET,Q,0,14,0
TUEN MUN,HO PONG STREET,Q,4,9,0
TUEN MUN,HOI WAH ROAD,Q,0,19,0
TUEN MUN,HUNG CHEUNG ROAD CAR PARK,Q,0,36,0
TUEN MUN,KADOORIE BEACH CAR PARK,Q,12,0,0
TUEN MUN,KIN FAT STREET,Q,0,4,0
TUEN MUN,KIN FUNG CIRCUIT,Q,0,12,5
TUEN MUN,KIN ON STREET CAR PARK,Q,24,0,0
TUEN MUN,KING FUNG PATH,Q,33,0,0
TUEN MUN,LAM TEI MAIN STREET,Q,8,0,0
TUEN MUN,LEUNG TAK STREET ,Q,4,0,0
TUEN MUN,LEUNG WAN STREET,Q,10,0,0
TUEN MUN,LUK YUEN STREET CAR PARK,Q,18,0,0
TUEN MUN,LUNG CHAK ROAD,Q,15,0,0
TUEN MUN,NG LAU ROAD,Q,28,0,0
TUEN MUN,SAM SHING STREET,Q,24,0,0
TUEN MUN,SAN HING ROAD ,Q,6,0,0
TUEN MUN,SAN HING ROAD CAR PARK,Q,16,0,0
TUEN MUN,SAN TSING STREET,Q,9,0,0
TUEN MUN,SAN WO LANE,Q,36,0,0
TUEN MUN,SIU LUN STREET CAR PARK,Q,19,0,0
TUEN MUN,TAK CHING COURT,Q,0,9,0
TUEN MUN,TAT YAN SQUARE,Q,17,0,0
TUEN MUN,TIN TEI YAN ROAD,Q,4,0,0
TUEN MUN,TSENG CHOI STREET,Q,0,3,0
TUEN MUN,TSENG CHOI STREET CAR PARK 1,Q,18,0,0
TUEN MUN,TSENG CHOI STREET CAR PARK 2,Q,14,0,0
TUEN MUN,TSING CHUEN WAI ROAD,Q,12,0,0
TUEN MUN,TSING CHUI PATH,Q,14,0,0
TUEN MUN,TSING FUK LANE,Q,20,0,0
TUEN MUN,TSING HOI CIRCUIT,Q,24,0,0
TUEN MUN,TSING PAK PATH,Q,11,0,0
TUEN MUN,TSING SIN STREET ,Q,11,0,0
TUEN MUN,TSING SIN STREET CAR PARK,Q,56,0,0
TUEN MUN,TSING WU SQUARE,Q,10,0,0
TUEN MUN,TSING WUI STREET ,Q,6,0,0
TUEN MUN,TSING WUI STREET CAR PARK,Q,23,0,0
TUEN MUN,TSING YEUNG CIRCUIT CAR PARK,Q,21,28,4
TUEN MUN,TSING YIN STREET,Q,7,1,0
TUEN MUN,TSING YIN STREET CAR PARK,Q,14,0,0
TUEN MUN,TUEN MUN HEUNG SZE WUI ROAD,Q,4,0,0
TUEN MUN,WU SHAN ROAD,Q,13,0,0
TUEN MUN,YAN CHING STREET,Q,0,2,0
TUEN MUN,YAN OI TONG CAR PARK ,Q,22,0,0
TUEN MUN,YAN OI TONG CIRCUIT,Q,15,0,0
TUEN MUN,YEUNG KING ROAD,Q,8,0,0
TUEN MUN,YEUNG TSING ROAD,Q,9,0,0
TUEN MUN,YIP WONG ROAD,Q,3,0,0
YUEN LONG,CHUN YIN SQUARE,Q,5,0,0
YUEN LONG,FUK WANG STREET CAR PARK,Q,30,0,0
YUEN LONG,FUNG KWAN STREET CAR PARK 1,Q,30,0,0
YUEN LONG,FUNG KWAN STREET CAR PARK 2,Q,22,9,0
YUEN LONG,FUNG LOK LANE,Q,13,6,0
YUEN LONG,FUNG YAU STREET EAST,Q,0,3,0
YUEN LONG,FUNG YAU STREET NORTH CAR PARK,Q,36,8,0
YUEN LONG,HONG YIP STREET CAR PARK,Q,31,25,0
YUEN LONG,HUNG MIN COURT,Q,36,0,0
YUEN LONG,HUNG SHUN ROAD CAR PARK,Q,17,0,0
YUEN LONG,KAM CHEUNG SQAURE,Q,53,6,0
YUEN LONG,KAM SHEUNG ROAD STATION CAR PARK,Q,9,0,2
YUEN LONG,KIN TAK STREET,Q,18,0,0
YUEN LONG,KIN TAK STREET CAR PARK 1,Q,22,13,0
YUEN LONG,KIN TAK STREET CAR PARK 2,Q,15,11,0
YUEN LONG,KIU FAT STREET,Q,2,4,9
YUEN LONG,KIU LOK SQUARE,Q,16,0,0
YUEN LONG,LAM HAU TSUEN ROAD,Q,10,0,0
YUEN LONG,LEUNG YIP STREET CAR PARK,Q,40,34,0
YUEN LONG,LOK MA CHAU ROAD,Q,17,3,2
YUEN LONG,LONG WO ROAD CAR PARK,Q,18,0,0
YUEN LONG,MA TIN ROAD,Q,8,2,0
YUEN LONG,NAM BIN WAI CAR PARK,Q,14,0,0
YUEN LONG,ON CHUN LANE,Q,9,0,0
YUEN LONG,ON HONG ROAD ,Q,15,4,0
YUEN LONG,ON LEUNG LANE,Q,9,0,0
YUEN LONG,ON SHUN STREET,Q,8,2,1
YUEN LONG,PING CHUK LANE,Q,46,7,0
YUEN LONG,PING SHUN STREET,Q,7,0,0
YUEN LONG,PING YEUNG LANE,Q,18,0,0
YUEN LONG,PO LOK SQUARE,Q,0,10,0
YUEN LONG,SAI CHING STREET,Q,24,9,0
YUEN LONG,SAI YU STREET,Q,6,4,0
YUEN LONG,SHAN PUI ROAD,Q,29,0,0
YUEN LONG,SHUI PIN WAI ROAD,Q,5,2,0
YUEN LONG,TONG YAN SAN CHUEN ROAD,Q,8,7,0
YUEN LONG,TOWN PARK ROAD NORTH CAR PARK,Q,50,0,4
YUEN LONG,TSUI SING ROAD,Q,10,0,0
YUEN LONG,TUNG TAI STREET,Q,0,4,0
YUEN LONG,WANG TAT PATH (WANG TAT ROAD),Q,13,0,0
YUEN LONG,WANG YIP STREET EAST,Q,0,8,0
YUEN LONG,YAN LOK SQUARE,Q,8,0,0
YUEN LONG,YUEN LONG TAI YUK ROAD CAR PARK,Q,27,0,4
SHA TIN,A KUNG KOK SHAN ROAD CAR PARK 2,Q,24,0,0
SHA TIN,CHAK CHEUNG STREET CAR PARK,Q,13,11,1
SHA TIN,CHIK CHUEN STREET,Q,6,0,0
SHA TIN,CHIK FU STREET,Q,12,8,0
SHA TIN,CHIK SHUN STREET,Q,23,3,0
SHA TIN,CHIK TAK LANE,Q,5,0,0
SHA TIN,CHUI TIN STREET ,Q,12,0,0
SHA TIN,CHUI TIN STREET CAR PARK,Q,29,0,4
SHA TIN,CHUNG LING ROAD CAR PARK,Q,24,0,0
SHA TIN,FU KIN STREET CAR PARK,Q,38,5,0
SHA TIN,FU TIN LANE,Q,43,6,0
SHA TIN,FUNG SHEK STREET C/P,Q,32,4,0
SHA TIN,HANG SHUN STREET CAR PARK,Q,52,22,0
SHA TIN,HIN KWAI LANE,Q,7,0,0
SHA TIN,HIN TIN STREET,Q,49,7,0
SHA TIN,HUNG MUI KUK ROAD,Q,8,0,5
SHA TIN,KAK TIN STREET,Q,65,0,0
SHA TIN,KAK TIN STREET CAR PARK,Q,52,0,0
SHA TIN,KAM SHAN COUNTRY PARK C/P,D,22,0,8
SHA TIN,KAM SHAN COUNTRY PARK C/P,A,35,0,0
SHA TIN,KENG HAU LANE CAR PARK,Q,12,0,0
SHA TIN,KWEI TEI SAN CHUEN ROAD,B,19,0,0
SHA TIN,KWONG SIN STREET CAR PARK 1,Q,42,0,0
SHA TIN,KWONG SIN STREET CAR PARK 2,Q,41,8,2
SHA TIN,LOK SHUN PATH,Q,15,1,0
SHA TIN,LOK WO SHA LANE,Q,35,0,8
SHA TIN,LOWER SHING MUN ROAD,Q,12,0,0
SHA TIN,MAN LAM ROAD,Q,27,0,0
SHA TIN,NGAU PEI SHA STREET CAR PARK 1,Q,28,9,0
SHA TIN,NGAU PEI SHA STREET CAR PARK 2,Q,40,0,0
SHA TIN,ON KING STREET CAR PARK,Q,21,0,0
SHA TIN,PAI TAU STREET,Q,4,0,0
SHA TIN,SHA TIN CENTRE STREET,Q,0,11,0
SHA TIN,SHA TIN TAU ROAD,Q,12,0,0
SHA TIN,SHAN MEI STREET,Q,9,0,0
SHA TIN,SHING HO ROAD,Q,12,0,0
SHA TIN,SHING WAN ROAD,Q,33,37,0
SHA TIN,TAI PO ROAD (LOOKOUT),Q,9,0,0
SHA TIN,TAI PO ROAD CAR PARK 2,Q,17,0,0
SHA TIN,TAI PO ROAD CAR PARK 3,Q,49,0,0
SHA TIN,TAI WAI NEW VILLAGE CAR PARK 1,Q,47,0,0
SHA TIN,TAI WAI NEW VILLAGE CAR PARK 2,Q,29,0,0
SHA TIN,TAI WAI ROAD,Q,13,0,0
SHA TIN,TIN SAM STREET CAR PARK,Q,53,7,0
SHA TIN,TO SHEK STREET CAR PARK 1,Q,32,3,0
SHA TIN,TO SHEK STREET CAR PARK 2,Q,16,9,0
SHA TIN,TSANG TAI UK VILLAGE CAR PARK (NEAR SHAN HA WAI),Q,14,0,0
SHA TIN,TUNG LO WAN HILL ROAD,Q,51,2,0
SHA TIN,WO CHE STREET ,Q,7,0,0
SHA TIN,WO HEUNG STREET,Q,3,2,0
SHA TIN,WO LIU HANG ROAD,Q,3,0,0
SHA TIN,WO SHING STREET,Q,9,0,0
SHA TIN,WO SHUI STREET,Q,2,5,0
SHA TIN,YAT CHEUNG STREET,Q,5,0,0
SHA TIN,YAU ON STREET CAR PARK,Q,23,0,0
SHA TIN,YI SHING SQUARE,Q,9,0,0
SHA TIN,YUEN CHAU KOK ROAD CAR PARK,Q,33,5,6
SHA TIN,YUEN CHEONG LANE,Q,0,0,10
SHA TIN,YUEN WO ROAD CAR PARK,Q,41,0,0
TAI PO,CHEUNG SHUE TAN CAR PARK,Q,77,0,0
TAI PO,CHUI LOK STREET,Q,16,0,0
TAI PO,CHUI WO LANE,Q,32,0,0
TAI PO,DAI HEI STREET,Q,15,0,0
TAI PO,DAI KING STREET,Q,15,0,0
TAI PO,DAI SHING STREET CAR PARK,Q,28,48,28
TAI PO,HA HANG CAR PARK 1 (NEAR TING KOK ROAD),Q,36,0,0
TAI PO,HA HANG CAR PARK 2 (NEAR TING KOK ROAD),Q,30,5,0
TAI PO,HA WONG YI AU CAR PARK,Q,50,0,0
TAI PO,HEI YUEN STREET,Q,4,2,0
TAI PO,HEUNG SZE WUI SQUARE,Q,43,0,0
TAI PO,KAM SHEK NEW VILLAGE CAR PARK,Q,67,9,0
TAI PO,KWONG FUK SQUARE,Q,48,2,0
TAI PO,LO FAI ROAD,Q,19,0,0
TAI PO,MA WO ROAD,Q,8,0,0
TAI PO,NAI CHUNG CAR PARK (NEAR SAI SHA ROAD),Q,49,0,7
TAI PO,PAK SHING STREET CAR PARK,Q,8,3,0
TAI PO,PO HEUNG SQUARE,Q,39,0,0
TAI PO,PO YICK STREET,Q,2,0,0
TAI PO,PO YICK STREET CAR PARK,Q,11,0,0
TAI PO,SAN WA ON LANE,Q,18,0,0
TAI PO,SAN WAI TSAI ROAD CAR PARK,Q,47,0,0
TAI PO,SHAN TONG ROAD,B,29,0,0
TAI PO,SHAN TONG ROAD,Q,18,0,0
TAI PO,SUI ON STREET,Q,7,2,0
TAI PO,TAI MEI TUK CAR PARK,Q,99,0,5
TAI PO,TAI OM ROAD,Q,25,0,0
TAI PO,TAI PO KAU GARDEN CAR PARK (NEAR TAI PO ROAD),Q,6,0,2
TAI PO,TAI PO KAU PARK (NEAR TAI PO ROAD),Q,6,0,0
TAI PO,TAI PO SHUI WAI ROAD CAR PARK,Q,42,0,0
TAI PO,TAI PO SHUI WO ROAD,Q,11,0,0
TAI PO,TAI PO TAU ROAD,Q,0,0,2
TAI PO,TAI PO TAU VILLAGE CAR PARK,Q,20,0,0
TAI PO,TING KOK ROAD,Q,15,0,0
TAI PO,TING LAI ROAD,Q,0,17,0
TAI PO,TING LAI ROAD CAR PARK,Q,18,6,2
TAI PO,TSING YUEN STREET,Q,7,0,0
TAI PO,TUNG FAT SQUARE,Q,22,0,0
TAI PO,TUNG MAU SQUARE,Q,22,0,0
TAI PO,TUNG SAU SQUARE,Q,19,0,0
TAI PO,WAI YAN STREET,Q,10,0,0
TAI PO,WAI YI STREET,Q,9,0,0
TAI PO,WAN TAU KOK LANE,Q,9,0,0
TAI PO,WAN TAU SQUARE,Q,36,2,0
TAI PO,WAN TAU STREET CAR PARK 1,Q,19,6,0
TAI PO,WAN TAU STREET CAR PARK 2,Q,22,0,0
TAI PO,YAN HING STREET,Q,25,0,0
TAI PO,YAU KING LANE,Q,31,2,0
TAI PO,YU ON STREET,Q,7,20,0
TAI PO,YUE KOK CAR PARK,Q,28,3,0
TAI PO,YUNG YI ROAD ,Q,6,0,0
NORTH,CHOI FAI STREET,Q,0,7,0
NORTH,CHOI FAT STREET,Q,14,0,0
NORTH,FAN LENG LAU ROAD,Q,43,0,0
NORTH,FU HING STREET,Q,10,0,0
NORTH,JOCKEY CLUB ROAD,Q,12,0,0
NORTH,KA FU CLOSE,Q,12,13,0
NORTH,LOK YIP ROAD CAR PARK,Q,41,25,2
NORTH,LUEN CHEONG STREET,Q,11,7,0
NORTH,NAM WAI CAR PARK (NEAR SAN WAN ROAD),Q,40,0,0
NORTH,NG UK TSUEN (NEAR PO KIN ROAD) ,Q,11,0,0
NORTH,ON LOK MUN STREET CAR PARK,Q,16,42,0
NORTH,PAK WAI CAR PARK (NEAR JOCKEY CLUB ROAD),Q,41,8,0
NORTH,PAK WO ROAD CAR PARK,Q,26,0,2
NORTH,PING CHE ROAD CAR PARK,Q,18,5,1
NORTH,PO WAN ROAD CAR PARK 1,Q,56,0,0
NORTH,PO WAN ROAD CAR PARK 2,Q,33,8,1
NORTH,PO WING ROAD CAR PARK,Q,69,8,2
NORTH,SAN CHEUNG STREET,Q,11,0,0
NORTH,SAN FUNG AVENUE,Q,0,3,0
NORTH,SAN HONG STREET,P,6,0,0
NORTH,SAN SHING AVENUE,Q,44,4,0
NORTH,SHEUNG SHUI TUNG HING ROAD CAR PARK 1,Q,48,0,0
NORTH,SHEUNG SHUI TUNG HING ROAD CAR PARK 2,Q,57,0,0
NORTH,TSUI LAI CAR PARK (NEAR FUNG NAM ROAD),Q,103,0,0
NORTH,TSUN FU STREET,Q,9,2,0
NORTH,WAH MING LANE,Q,18,0,0
NORTH,WAI HON ROAD CAR PARK,Q,52,6,0
NORTH,WO HING ROAD CAR PARK 1,Q,40,6,0
NORTH,WO HING ROAD CAR PARK 2,Q,33,8,2
NORTH,WO TAI STREET,Q,8,0,0
NORTH,YIP FUNG STREET CAR PARK,Q,16,37,0
SAI KUNG,CHAP FUK ROAD CAR PARK,H,58,7,2
SAI KUNG,CHUI TONG ROAD ,H,10,0,0
SAI KUNG,CHUI TONG ROAD CAR PARK,H,36,10,0
SAI KUNG,CHUN CHEONG STREET CAR PARK,H,20,21,19
SAI KUNG,CHUN WANG STREET CAR PARK,H,0,45,0
SAI KUNG,CLEAR WATER BAY ROAD CAR PARK 1,H,21,0,0
SAI KUNG,CLEAR WATER BAY ROAD CAR PARK 2,H,10,0,0
SAI KUNG,CLEAR WATER BAY SECOND BEACH CAR PARK ,H,66,0,0
SAI KUNG,FUK MAN ROAD CAR PARK,B,0,0,22
SAI KUNG,HEUNG CHUNG ROAD,H,26,3,0
SAI KUNG,HIRAM'S HIGHWAY,H,12,0,0
SAI KUNG,HIRAM'S HIGHWAY (NAM PIN WAI),H,13,0,0
SAI KUNG,HIRAM'S HIGHWAY CAR PARK,H,32,0,0
SAI KUNG,HO CHUNG ROAD,H,10,0,0
SAI KUNG,HONG KIN ROAD ,H,5,0,0
SAI KUNG,HONG TSUEN ROAD,H,0,0,1
SAI KUNG,HONG TSUEN ROAD CAR PARK,H,12,2,0
SAI KUNG,KAU SAI SAN TSUEN ROAD CAR PARK,H,13,0,0
SAI KUNG,KING YIN LANE CAR PARK,H,21,0,0
SAI KUNG,MAN NIN STREET ,H,57,0,0
SAI KUNG,MAN NIN STREET CAR PARK,H,12,0,0
SAI KUNG,NIN CHUN STREET CAR PARK ,H,0,9,0
SAI KUNG,PAK SHA WAN PIER CAR PARK 1,H,33,0,0
SAI KUNG,PAK SHA WAN PIER CAR PARK 2,H,14,0,0
SAI KUNG,PAK WAI CAR PARK (NEAR HIRAM'S HIGHWAY),H,18,2,0
SAI KUNG,PO TUNG ROAD CAR PARK,H,23,3,0
SAI KUNG,SHA KOK MEI ROAD,H,26,0,0
SAI KUNG,SHEK KOK ROAD CAR PARK,H,82,0,0
SAI KUNG,SILVERSTRAND BEACH CAR PARK,B,61,0,3
SAI KUNG,TAI AU MUN ROAD,H,4,0,0
SAI KUNG,TAI CHUNG HAU ROAD,H,9,0,0
SAI KUNG,TAI MONG TSAI CAR PARK,H,14,0,0
SAI KUNG,TAI PO TSAI VILLAGE CAR PARK,H,23,0,0
SAI KUNG,TAN CHEUNG CAR PARK ,H,9,7,0
SAI KUNG,TAN SHAN ROAD CAR PARK,H,8,9,2
SAI KUNG,TIN CHAU ROAD,H,8,0,0
SAI KUNG,TSENG LAN SHUE CAR PARK (NEAR CLEAR WATER BAY ROAD),H,21,0,0
SAI KUNG,WA FUK STREET CAR PARK,H,11,22,0
SAI KUNG,WA YUNG ROAD CAR PARK,H,53,0,0
SAI KUNG,WING LAI ROAD ,H,54,9,0
SAI KUNG,WING LAI ROAD CAR PARK,H,42,9,0
SAI KUNG,YAN YEE ROAD,H,6,0,0
SAI KUNG,YAU YU WAN VILLAGE ROAD CAR PARK,H,22,9,3
SAI KUNG,YI CHUN STREET,H,6,3,0
